,,,,,,,,,,,
,,06/02/23,07/02/23,08/02/23,09/02/23,10/02/23,11/02/23,12/02/23,13/02/23,14/02/23,15/02/23
,Torino - Lingotto,,,35,33,51,60,53,67,79,81
,Torino - Rebaudengo,25,33,23,19,59,71,65,83,92,95
,Torino - Rubino,,,30,28,51,51,53,60,72,70
,Baldissero T.(ACEA) - parco,18,14,24,20,22,25,27,40,34,39
,Beinasco (TRM) - Aldo Mei,20,20,32,30,48,54,48,59,71,73
,Borgaro T. - Caduti,22,25,36,31,41,53,45,55,65,60
,Ceresole Reale - Diga,8,2,11,,2,6,5,6,4,5
,Ivrea - Liberazione,23,23,34,30,49,54,55,58,63,65
,Leini'(ACEA) - Grande Torino,21,23,29,31,44,47,39,56,61,61
,Pinerolo - Alpini,17,12,22,30,32,28,24,35,36,26
,Alessandria - Volta,19,25,34,30,52,55,51,86,75,66
,Casale M.to - Castello,19,30,38,29,44,45,39,80,51,48
,Tortona - Carbone,26,33,47,30,47,44,34,98,68,49
,Asti - D'Acquisto,20,22,,28,51,55,51,73,70,63
,Trivero - Ronco,18,12,23,17,16,19,19,27,25,16
,Bra - Madonna Fiori,18,20,31,31,32,35,35,54,46,38
,Cavallermaggiore - Galilei,18,22,35,39,39,42,38,57,57,44
,Mondovi' - Aragno,27,21,38,39,36,34,24,52,46,34
,Novara-Arpa,22,25,39,26,38,47,51,59,59,
,Borgomanero - Molli,19,24,34,26,31,28,37,33,37,28
,Castelletto T. - Fontane,26,19,44,34,46,,,,47,34
,Baceno - Alpe Devero,6,3,9,20,5,2,3,4,2,3
,Verbania - Gabardi,20,18,30,19,20,25,25,29,23,19
,Omegna - Crusinallo,30,32,45,37,48,55,46,50,55,43
,Vercelli - Gastaldi,24,28,33,34,53,57,56,63,69,69
,Borgosesia - Tonella,21,24,30,31,27,34,36,36,37,26
,Cigliano-Autostrada,25,24,33,30,46,49,50,54,63,61